Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.77683E-4,89.507786983,0.795829686,0.008779932,0.928462709,0
3.79911E-4,89.772611134,0.797733571,0.008513873,0.929223744,0
3.893E-4,90.003470251,0.805566744,0.008285823,0.929604262,0
3.95368E-4,90.278118309,0.810467643,0.008019764,0.930365297,0
4.08571E-4,90.806791853,0.820707378,0.007525656,0.934550989,0
4.10514E-4,91.011719707,0.822166935,0.007335614,0.935692542,0
4.17621E-4,91.301263188,0.827404534,0.007069555,0.937595129,0
4.22944E-4,92.269347903,0.831226287,0.006195363,0.945966514,0
4.43931E-4,92.529726048,0.845488313,0.005967313,0.945966514,0
4.58077E-4,93.628637574,0.854414648,0.005055112,0.954718417,0
4.64636E-4,94.591255439,0.85837666,0.004256937,0.962709285,0
4.72273E-4,96.220275344,0.862854018,0.002926644,0.976027397,0
4.74266E-4,96.267701902,0.863998952,0.002888635,0.976027397,0
4.79572E-4,96.744451717,0.867001346,0.002508552,0.979452055,0
4.82406E-4,96.792692269,0.868577111,0.002470544,0.979452055,0
4.84056E-4,97.757668347,0.869486327,0.001710376,0.987062405,0
4.86863E-4,98.193599264,0.871018296,0.001368301,0.990487062,0
4.90069E-4,98.291592986,0.872746334,0.001292284,0.991248097,0
4.92237E-4,98.683865002,0.873901835,0.000988217,0.994292237,0
5.03348E-4,99.478784739,0.879660054,0.000380084,1,0
5.04802E-4,99.529264916,0.880393642,0.000342075,1,0
5.79814E-4,99.797860049,0.912761063,0.000152033,1,0
6.94696E-4,100,0.946194388,0.000038008,1,0
