X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
347.0,347.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
348.0,348.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
349.0,349.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
350.0,350.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
351.0,351.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
352.0,352.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
353.0,353.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
354.0,354.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
355.0,355.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
356.0,356.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
357.0,357.0,train,4.7690933755565695E-4,96.50520862846852,0.8655031086209521
358.0,358.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
359.0,359.0,train,4.208137987737117E-4,91.88193192572328,0.8297073969370123
360.0,360.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
361.0,361.0,train,4.208137987737117E-4,91.88193192572328,0.8297073969370123
362.0,362.0,train,4.208137987737117E-4,91.88193192572328,0.8297073969370123
363.0,363.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
364.0,364.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
365.0,365.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
366.0,366.0,train,4.580771283670504E-4,93.62865641352066,0.8544146477241005
367.0,367.0,train,4.7690933755565695E-4,96.50520862846852,0.8655031086209521
368.0,368.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
369.0,369.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
370.0,370.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
371.0,371.0,train,4.580771283670504E-4,93.62865641352066,0.8544146477241005
372.0,372.0,train,4.580771283670504E-4,93.62865641352066,0.8544146477241005
373.0,373.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
374.0,374.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
375.0,375.0,train,4.652331273693534E-4,94.71862644469556,0.8587319157436736
376.0,376.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
377.0,377.0,train,2.6396626811101286E-4,30.01212408373407,0.6705816397200939
378.0,378.0,train,4.7690933755565695E-4,96.50520862846852,0.8655031086209521
379.0,379.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
380.0,380.0,train,3.694232417961865E-4,88.73368184188305,0.7886104216888697
381.0,381.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
382.0,382.0,train,3.185419696647115E-4,51.84759034629075,0.7381570262195379
383.0,383.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
384.0,384.0,train,1.5339598142890252E-4,13.659077421241632,0.4754899933653729
385.0,385.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
386.0,386.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
387.0,387.0,train,4.5787122329244036E-4,93.61265210844651,0.8542884898660366
388.0,388.0,train,4.7690933755565695E-4,96.50520862846852,0.8655031086209521
389.0,389.0,train,3.500111033774217E-4,86.69350496058492,0.7706237189979592
390.0,390.0,train,3.423076635397566E-4,82.64920779232487,0.7630687869345294
391.0,391.0,train,3.1807064037534433E-4,51.43616572546613,0.737637344495822
392.0,392.0,train,3.5649362294904943E-4,88.05261245485362,0.7767942944279435
393.0,393.0,train,3.2858171231223485E-4,66.87191659169385,0.7489854743272972
394.0,394.0,train,3.4096421488641014E-5,4.497082659028328,0.1336214953509448
395.0,395.0,train,3.1807064037534433E-4,51.43616572546613,0.737637344495822
396.0,396.0,train,2.734337965052103E-5,3.8676384416005307,0.10865647597153372
397.0,397.0,train,6.128877647923473E-7,0.17010807109757298,0.002574913759751274
398.0,398.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
399.0,399.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
400.0,400.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
401.0,401.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
402.0,402.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
403.0,403.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
404.0,404.0,train,1.2592773558667245E-4,10.674798328503233,0.4112420446159668
405.0,405.0,train,1.2592773558667245E-4,10.674798328503233,0.4112420446159668
406.0,406.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
407.0,407.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
408.0,408.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
409.0,409.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
410.0,410.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
411.0,411.0,train,3.0896260679006944E-4,43.45889240817564,0.7273899224642713
412.0,412.0,train,1.2592773558667245E-4,10.674798328503233,0.4112420446159668
413.0,413.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
414.0,414.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
415.0,415.0,train,3.0896260679006944E-4,43.45889240817564,0.7273899224642713
416.0,416.0,train,2.8754590412338895E-4,32.468327093636596,0.7016891344879973
417.0,417.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
418.0,418.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
419.0,419.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
420.0,420.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
421.0,421.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
422.0,422.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
423.0,423.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
424.0,424.0,train,1.2592773558667245E-4,10.674798328503233,0.4112420446159668
425.0,425.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
426.0,426.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
427.0,427.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
428.0,428.0,train,1.1723950949990735E-4,10.189765233790313,0.3893256047512188
429.0,429.0,train,2.8754590412338895E-4,32.468327093636596,0.7016891344879973
430.0,430.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
431.0,431.0,train,3.0896260679006944E-4,43.45889240817564,0.7273899224642713
432.0,432.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
433.0,433.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
434.0,434.0,train,1.0483609160868499E-4,9.606838156677165,0.3566162472937342
435.0,435.0,train,1.2367471403490932E-4,10.568900308551637,0.4056353964013567
436.0,436.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
437.0,437.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
438.0,438.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
439.0,439.0,train,3.275293109492555E-4,65.22209327113033,0.7478717353379049
440.0,440.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
441.0,441.0,train,3.0651497202769686E-4,41.63390477582926,0.7245685023463755
